 ,Label,Area,Mean,Min,Max,%Area
1,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0477-0123,4585,0.61,0,85,0
2,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0586-0136,2910,0.70,0,85,0
3,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0556-0210,1796,0.00,0,0,0
4,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0544-0265,2331,0.78,0,85,0
5,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0299-0534,1814,0.54,0,85,0
6,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0405-0531,2376,1.53,0,85,0
7,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0420-0507,1382,0.43,0,85,0
8,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0491-0416,1475,0.00,0,0,0
9,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0702-0646,1892,0.00,0,0,0
10,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0780-0588,3898,0.00,0,0,0
11,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0814-0632,2554,0.00,0,0,0
12,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0747-0660,1790,0.00,0,0,0
13,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0765-0693,1744,4.014E-3,0,7,0
14,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0719-0745,1526,0.00,0,0,0
15,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0547-0861,4727,0.14,0,80,0
16,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0374-0898,1932,0.24,0,83,0
17,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0479-0590,7560,2.93,0,85,0
18,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0324-0659,3384,0.15,0,85,0
19,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0753-0578,2733,0.00,0,0,0
20,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0635-0296,3395,0.10,0,85,0
21,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0678-0240,1030,5.58,0,85,0
22,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0686-0297,3676,0.00,0,0,0
23,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0543-0808,3481,0.29,0,85,0
24,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0276-0572,2808,1.88,0,85,0
25,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0284-0631,3729,3.754E-3,0,7,0
26,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0333-0590,1825,0.91,0,85,0
27,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0379-0419,4481,0.02,0,34,0
28,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0284-0483,5866,3.49,0,85,0
29,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0131-0527,1433,0.05,0,62,0
30,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0082-0565,1994,0.00,0,0,0
31,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0062-0509,3140,0.16,0,52,0
32,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0171-0281,6193,0.60,0,85,0
33,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0707-0326,1701,6.26,0,85,0
34,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0180-1124,2410,1.245E-3,0,3,0
35,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0336-1149,2092,0.01,0,14,0
36,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0387-1205,5207,0.03,0,85,0
37,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0481-1007,1847,0.29,0,45,0
38,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0418-0939,2115,0.01,0,14,0
39,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0345-0975,1132,0.79,0,85,0
40,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0331-0972,1711,0.03,0,22,0
41,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0306-0928,3643,9.882E-3,0,22,0
42,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0221-0954,2594,0.00,0,0,0
43,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0233-0992,1351,0.00,0,0,0
44,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0155-1043,3981,0.02,0,62,0
45,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0218-1058,2414,0.00,0,0,0
46,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0303-0965,1761,0.00,0,0,0
47,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0273-1045,1756,0.23,0,85,0
48,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0244-1103,1362,2.04,0,85,0
49,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0226-1091,1791,0.23,0,85,0
50,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0550-0935,1960,0.00,0,0,0
51,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0545-0996,1744,0.06,0,22,0
52,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0504-1047,1963,0.00,0,0,0
53,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0557-1055,2224,0.00,0,0,0
54,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0627-1074,1409,0.00,0,0,0
55,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0619-0974,709,0.00,0,0,0
56,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0629-1159,5754,3.823E-3,0,22,0
57,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0562-1141,4101,2.67,0,85,0
58,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0894-0869,3479,0.00,0,0,0
59,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0846-0967,4716,0.00,0,0,0
60,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0696-1079,1623,0.00,0,0,0
61,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0739-1063,2259,0.00,0,0,0
62,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0732-1116,1403,0.00,0,0,0
63,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0689-1134,1113,0.00,0,0,0
64,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0648-1124,1515,0.00,0,0,0
65,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0701-1179,1249,0.00,0,0,0
66,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0729-1166,1228,0.00,0,0,0
67,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0821-1212,2419,0.00,0,0,0
68,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0761-1235,1071,0.00,0,0,0
69,Raw_4T1_2-1_0h_04 - Red Light_1.tif:0832-1023,1004,0.00,0,0,0
